ID,Titulo,Historia,Epica,Prioridad,Puntos,Sprint,Tipo
HU-01,Registro de candidato,"Como candidato quiero registrarme con mis datos personales y de contacto para crear un perfil que me permita recibir recomendaciones de vacantes ajustadas a mis habilidades.",Identidad y acceso,Alta,5,Sprint 1,Funcional
HU-02,Inicio y cierre de sesion,"Como usuario registrado quiero iniciar y cerrar sesion con mi correo y contrasena para acceder de forma segura a la informacion de mi cuenta y protegerla al terminar.",Identidad y acceso,Alta,3,Sprint 1,Funcional
HU-03,Registro de reclutador,"Como reclutador quiero registrarme indicando el nombre y el dominio de correo de mi empresa para que la plataforma verifique mi vinculacion laboral antes de habilitarme la publicacion de vacantes.",Identidad y acceso,Media,5,Sprint 3,Funcional
HU-04,Control de acceso por rol,"Como administrador del sistema quiero que un middleware valide el rol del usuario en cada peticion a rutas protegidas para impedir que un candidato acceda a funciones de reclutador o de administracion.",Identidad y acceso,Alta,5,Sprint 1,No funcional - Seguridad
HU-05,Perfil de habilidades con nivel y experiencia,"Como candidato quiero declarar mis habilidades indicando el nivel de dominio de 1 a 5 y los anios de experiencia en cada una para que el motor calcule mi ajuste con precision.",Perfil y habilidades,Alta,8,Sprint 1,Funcional
HU-06,Autocompletado de habilidades,"Como candidato quiero que el buscador me sugiera habilidades del catalogo normalizado a medida que escribo para evitar registrar sinonimos que fragmenten el grafo.",Perfil y habilidades,Media,5,Sprint 2,Funcional
HU-07,Validacion de formularios,"Como usuario de cualquier formulario quiero que el sistema me indique con precision que campo obligatorio esta incompleto sin borrar lo que ya escribi para corregir el error rapidamente.",Perfil y habilidades,Alta,5,Sprint 1,No funcional - Usabilidad
HU-08,Creacion y gestion de vacantes,"Como reclutador quiero crear editar consultar y eliminar vacantes con su titulo salario modalidad y numero de posiciones para gestionar la demanda de talento de mi empresa.",Gestion de vacantes,Alta,5,Sprint 2,Funcional
HU-09,Habilidades requeridas con peso,"Como reclutador quiero asociar a cada vacante las habilidades requeridas con un peso un nivel minimo y la marca de obligatoriedad para que el ajuste refleje la importancia real de cada competencia.",Gestion de vacantes,Alta,8,Sprint 2,Funcional
HU-10,Taxonomia de roles y habilidades,"Como administrador del sistema quiero definir los roles ocupacionales y las habilidades que los componen para mantener una taxonomia consistente que sirva de referencia a todas las vacantes.",Modelado del grafo,Media,5,Sprint 3,Funcional
HU-11,Sincronizacion idempotente hacia Neo4j,"Como lider tecnico quiero que cada cambio en el perfil de un candidato o en una vacante se sincronice de forma idempotente hacia Neo4j para que el grafo refleje siempre el estado vigente.",Modelado del grafo,Alta,8,Sprint 1,Funcional
HU-12,Calculo del ajuste con Cypher,"Como candidato quiero que el sistema calcule mi porcentaje de ajuste con cada vacante recorriendo el grafo de habilidades para conocer objetivamente mi posicion frente a la oferta disponible.",Motor de recomendacion,Alta,13,Sprint 1,Funcional
HU-13,Ranking con centralidad y adyacencia,"Como candidato quiero que el ranking considere la centralidad del rol y mi afinidad con habilidades adyacentes para descubrir vacantes pertinentes que una coincidencia literal no habria revelado.",Motor de recomendacion,Media,13,Sprint 3,Funcional
HU-14,API de recomendaciones,"Como desarrollador integrador quiero consumir un endpoint REST que devuelva las vacantes recomendadas en formato JSON para incorporar las recomendaciones en portales de terceros.",Motor de recomendacion,Alta,8,Sprint 2,Funcional
